OBJECTID,GEOID,STATE,COUNTY,TRACT,EACODE,EANAME,HCV_PUBLIC,HCV_PCT_RENTER_OCC_UNITS,HCV_PUBLIC_PCT,SHAPE_Length,SHAPE_Area
60213,37063002008,37,063,002008,133,"Raleigh-Durham-Cary, NC  ",,,,0.109322242392529,0.000518715085856621
60214,37063002015,37,063,002015,133,"Raleigh-Durham-Cary, NC  ",49,2.71000004,2.71000004,0.103682438116792,0.000374418392954952
60215,37063002016,37,063,002016,133,"Raleigh-Durham-Cary, NC  ",,,,0.0808797657844163,0.00029249180983096
60216,37157041602,37,157,041602,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.511303293329833,0.0117695203896439
60217,37183053900,37,183,053900,133,"Raleigh-Durham-Cary, NC  ",,,,0.657204687306741,0.0129216506514198
60218,37067002701,37,067,002701,66,"Greensboro--Winston-Salem--High Point, NC  ",121,9.56999969,9.56999969,0.116254379275292,0.000562330427844755
60219,37067002702,37,067,002702,66,"Greensboro--Winston-Salem--High Point, NC  ",222,10.57999992,10.57999992,0.10723801372577,0.000588410800182507
60220,37067002703,37,067,002703,66,"Greensboro--Winston-Salem--High Point, NC  ",22,0.81,0.81,0.106510926524718,0.000503767782911067
60221,37067002804,37,067,002804,66,"Greensboro--Winston-Salem--High Point, NC  ",13,3.81999993,3.81999993,0.16443051841319,0.00129772610340043
60222,37067002806,37,067,002806,66,"Greensboro--Winston-Salem--High Point, NC  ",31,4.51000023,4.51000023,0.131871530996072,0.00092720298543876
60299,37139960300,37,139,960300,173,"Virginia Beach-Norfolk-Newport News, VA-NC   ",132,13.22999954,13.22999954,0.069030275155828,0.000252334254327997
60300,37139960400,37,139,960400,173,"Virginia Beach-Norfolk-Newport News, VA-NC   ",109,12.06000042,12.06000042,0.151719714749886,0.000707645893161173
60301,37171930400,37,171,930400,66,"Greensboro--Winston-Salem--High Point, NC  ",16,2.08999991,2.08999991,0.0999905534950525,0.000373666435095121
60302,37171931200,37,171,931200,66,"Greensboro--Winston-Salem--High Point, NC  ",11,2.49000001,2.49000001,0.414281716924739,0.00580633348472339
60303,37139960502,37,139,960502,173,"Virginia Beach-Norfolk-Newport News, VA-NC   ",20,4.28999996,4.28999996,0.308075701800989,0.00366816837971962
60304,37157041601,37,157,041601,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.390983475680705,0.0079319731597059
60305,37127010800,37,127,010800,133,"Raleigh-Durham-Cary, NC  ",,,,0.686000409529489,0.0168710254925763
60306,37127010700,37,127,010700,133,"Raleigh-Durham-Cary, NC  ",,,,0.599075619638394,0.0118084703415661
60307,37127011000,37,127,011000,133,"Raleigh-Durham-Cary, NC  ",,,,0.578376413246177,0.0104864760721017
60308,37127010502,37,127,010502,133,"Raleigh-Durham-Cary, NC  ",,,,0.176200768090412,0.00163153046680111
60309,37127010900,37,127,010900,133,"Raleigh-Durham-Cary, NC  ",,,,0.875979922087108,0.0280270999051375
60310,37127010503,37,127,010503,133,"Raleigh-Durham-Cary, NC  ",,,,0.152568920943143,0.0014482097651365
60311,37067001601,37,067,001601,66,"Greensboro--Winston-Salem--High Point, NC  ",86,20.53000069,20.53000069,0.111031495149486,0.000614266289722359
60312,37067001700,37,067,001700,66,"Greensboro--Winston-Salem--High Point, NC  ",143,16.20999908,16.20999908,0.136180996548716,0.000892974318299594
60313,37199960200,37,199,960200,10,"Asheville-Brevard, NC  ",105,15.56000042,15.56000042,0.558037286065148,0.010282056461557
